iter	Passed	Remaining
540	6130	5201
541	6149	5196
542	6170	5193
543	6193	5191
544	6213	5187
545	6227	5178
546	6244	5171
547	6253	5158
548	6263	5145
549	6277	5136
550	6288	5124
551	6304	5117
552	6317	5106
553	6327	5093
554	6336	5080
555	6353	5073
556	6369	5065
557	6378	5052
558	6385	5037
559	6393	5023
560	6404	5012
561	6414	4999
562	6422	4985
563	6433	4973
564	6440	4958
565	6449	4945
566	6458	4932
567	6466	4918
568	6475	4905
569	6485	4892
570	6494	4879
571	6503	4866
572	6513	4853
573	6523	4841
574	6533	4828
575	6553	4824
576	6573	4818
577	6598	4817
578	6619	4813
579	6630	4801
580	6639	4787
581	6648	4775
582	6657	4761
583	6665	4747
584	6676	4736
585	6687	4724
586	6698	4712
587	6707	4699
588	6715	4686
589	6723	4672
590	6732	4659
591	6740	4645
592	6750	4632
593	6758	4619
594	6766	4605
595	6776	4593
596	6789	4583
597	6798	4570
598	6808	4558
599	6817	4544
600	6828	4533
601	6841	4523
602	6852	4511
603	6871	4505
604	6882	4493
605	6893	4481
606	6903	4469
607	6912	4456
608	6922	4444
609	6931	4431
610	6943	4420
611	6953	4408
612	6962	4395
613	6970	4382
614	6979	4369
615	6987	4356
616	6996	4342
617	7006	4330
618	7019	4320
619	7040	4315
620	7060	4309
621	7075	4299
622	7090	4290
623	7097	4276
624	7106	4263
625	7115	4251
626	7123	4237
627	7133	4225
628	7141	4212
629	7150	4199
630	7161	4188
631	7172	4176
632	7181	4163
633	7189	4150
634	7197	4137
635	7204	4123
636	7212	4110
637	7220	4096
638	7228	4083
639	7235	4069
640	7243	4056
641	7250	4042
642	7257	4029
643	7265	4016
644	7275	4004
645	7284	3991
646	7291	3978
647	7300	3965
648	7307	3951
649	7317	3940
650	7336	3933
651	7346	3921
652	7354	3908
653	7366	3897
654	7374	3884
655	7383	3871
656	7393	3859
657	7402	3847
658	7411	3835
659	7421	3823
660	7430	3810
661	7439	3798
662	7449	3786
663	7459	3774
664	7469	3762
665	7476	3749
666	7487	3738
667	7503	3729
668	7512	3716
669	7522	3704
670	7531	3692
671	7539	3679
672	7547	3667
673	7555	3654
674	7563	3641
675	7571	3628
676	7581	3617
677	7590	3605
678	7598	3592
679	7607	3580
680	7614	3566
681	7624	3555
682	7634	3543
683	7645	3532
684	7654	3520
685	7661	3506
686	7671	3495
687	7679	3482
688	7686	3469
689	7695	3457
690	7704	3445
691	7712	3432
692	7720	3420
693	7729	3408
694	7737	3395
695	7749	3384
696	7757	3372
697	7766	3360
698	7774	3347
699	7784	3336
